"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"86","171.23297796681737","113.20824046518062","4.898815339010208","-0.3083187869423004","0.33251953125","0.3046875","0.3603515625","1300","0.00032467831027038063","0","0.00032467831027038063","0.00032467831027038063","86_87:0.008452578927347021","86_87:660","true"
"87","203.8326374569645","190.5319393716354","4.9921048588689825","-0.307423102897223","0.309326171875","0.326171875","0.29248046875","1300","0.0005230109621604522","0","0.0005230109621604522","0.0005230109621604522","87_88:0.009634933931521927","87_88:660","true"
"88","133.40183787830688","134.61467871285674","5.099374860063907","-0.3058997453558384","0.30712890625","0.01220703125","0.60205078125","1300","0.00035894457039769765","0","0.00035894457039769765","0.00035894457039769765","88_89:0.012507890365405394","88_89:660","true"
"89","183.13139224311473","145.44612583056625","4.956494738981058","-0.3077261951848229","0.32177734375","0.0595703125","0.583984375","1300","0.000523641735704495","0","0.000523641735704495","0.000523641735704495","","","true"
"90","257.535648416033","45.794512823316424","4.90559960530165","-0.307867793738734","0.157470703125","0.1591796875","0.15576171875","1300","0.00014008177816635122","0","0.00014008177816635122","0.00014008177816635122","","","true"
"91","191.1241153987973","259.68368791104933","4.9145560088831886","-0.30850221183732857","0.169189453125","0.11669921875","0.2216796875","1300","0.0037175708664635987","0","0.0037175708664635987","0.0037175708664635987","91_79:0.019043154119550654","91_79:660","true"
"92","124.65685323055986","100.68930706146152","4.912101551691113","-0.308588011384664","0.2138671875","0.04541015625","0.38232421875","1300","0.00023247396252637032","0","0.00023247396252637032","0.00023247396252637032","92_102:0.006769973257982953","92_102:660","true"
"93","108.37667240510896","76.08661677237579","4.9641251164803935","-0.3073815906362206","0.23388671875","0.259765625","0.2080078125","1300","0.0007320063437123074","0","0.0007320063437123074","0.0007320063437123074","93_106:0.015962316788105224;93_87:0.02387048935275654","93_106:660;93_87:740","true"
"94","124.1075402193966","129.15068016263132","4.975879014663069","-0.3076458715160733","0.31640625","0.470703125","0.162109375","1300","0.0005974422108651007","0","0.0005974422108651007","0.0005974422108651007","94_95:0.013599625253711833;94_90:0.007405203056086496","94_95:660;94_90:660","true"
"95","217.01626049796326","116.66125467107076","4.838910407893297","-0.3098764431196092","0.5","0","1","1300","0.00028745960230694564","0","0.00028745960230694564","0.00028745960230694564","95_96:0.00953649140655416","95_96:660","true"
"96","181.36069207500492","47.81435260289831","4.747930116940567","-0.3109191907797597","0.334716796875","0.15673828125","0.5126953125","1300","0.00023700298475559995","0","0.00023700298475559995","0.00023700298475559995","","","true"
"97","151.74939539170683","109.27346390667091","4.816158085162844","-0.3095561501235201","0.28173828125","0.099609375","0.4638671875","1300","0.00020192718928705616","0","0.00020192718928705616","0.00020192718928705616","97_96:0.009168308228066135;97_98:0.010169711134442705","97_96:660;97_98:660","true"
"98","133.6636177982111","66.50712818103774","4.942911211920772","-0.308363471215884","0.271240234375","0.20849609375","0.333984375","1300","0.0005396570072273092","0","0.0005396570072273092","0.0005396570072273092","98_91:0.02609028118212381","98_91:660","true"
"99","185.12089184383834","192.14482528586592","5.060112152124229","-0.30553728570536653","0.275146484375","0.392578125","0.15771484375","1300","0.00021218055741874348","0","0.00021218055741874348","0.00021218055741874348","99_98:0.010459702969582207","99_98:660","true"
"100","169.60117079729594","148.79998353812155","4.905354251280862","-0.3084392241160231","0.2177734375","0.271484375","0.1640625","1300","0.00022773193425063386","0","0.00022773193425063386","0.00022773193425063386","100_110:0.007843008841661725;100_99:0.02754266320739701","100_110:660;100_99:660","true"
"101","159.32418730861076","228.66200632402112","5.065357893698731","-0.3063331480679172","0.27783203125","0.0830078125","0.47265625","1300","0.0002797791469143378","0","0.0002797791469143378","0.0002797791469143378","101_100:0.011801905271602908;101_102:0.008127959425626718","101_100:660;101_102:660","true"
"102","57.55329942204007","197.14043914940032","4.809694040159432","-0.30996470519230634","0.302734375","0.23974609375","0.36572265625","1300","0.00024263300804814282","0","0.00024263300804814282","0.00024263300804814282","102_103:0.007780583143440489","102_103:660","true"
"103","209.3018051610972","64.15917505768192","4.933454999812456","-0.30764620230723944","0.257080078125","0.11474609375","0.3994140625","1300","0.0002495579408878564","0","0.0002495579408878564","0.0002495579408878564","","","true"
"104","196.00270974545143","201.72922779796318","4.765568257013826","-0.31046094866074025","0.2158203125","0.15087890625","0.28076171875","1300","0.0003182050912313319","0","0.0003182050912313319","0.0003182050912313319","104_103:0.006586982175685319","104_103:660","true"
"105","172.88181040551603","76.72022463103579","4.982167110093152","-0.30759736332542964","0.44921875","0.00341796875","0.89501953125","1300","0.0003374007636920672","0","0.0003374007636920672","0.0003374007636920672","105_104:0.006470809384203302;105_106:0.009488889976961346","105_104:660;105_106:660","true"
